request_id,start_date,agency_name,type_of_notice_description,pin,contract_amount,vendor_name,short_title,section_name
20260727013,07/31/2026,Dept. of Social Svcs/Human Resources Administration,Award,06926R0001008,1172655.00,"Praxis Housing Initiatives, Inc.","Single Room Occupancy Housing Services, Warren Residence",Procurement
20260727009,07/31/2026,Youth and Community Development,Award,26026N0011091,1981503.00,Queens Community House Inc,Summer Youth Employment Program NAQ,Procurement
20260727005,07/31/2026,Consumer and Worker Protection,Award,86623M0001001R002,77000.00,New York State Industries for the Disabled Inc,Janitorial /Cleaning Services,Procurement
20260727015,07/31/2026,Parks and Recreation,Award,84626W0040001,579732.00,United Industries & Construction Corp,"Q099-424M: Al Oerter Recreation Center Gym Floor Reconstruction, Queens",Procurement
20260727010,07/31/2026,Youth and Community Development,Award,26026N0011100,2850991.00,Italian American Civil Rights League Canarsie Inc.,Summer Youth Employment Program (SYEP) NAQ,Procurement
20260727011,07/31/2026,Youth and Community Development,Award,26026N0011005,2690845.00,Italian American Civil Rights League Canarsie Inc.,Summer Youth Employment Program (SYEP) NAQ,Procurement
20260727017,07/31/2026,Transportation,Award,84126W0076001,1500000.00,Isis 2 Consulting Ltd,ON-CALL WASTEWATER LINE MAINTENANCE,Procurement
20260727006,07/31/2026,Probation,Award,78123P0001006R001,262500.00,Health People Inc.,"Arches Program, South Bronx",Procurement
20260727008,07/31/2026,Youth and Community Development,Award,26026N0011082,1880625.00,Queens Community House Inc,SYEP Continuation Plan Contract,Procurement
20260727012,07/31/2026,Dept. of Social Svcs/Human Resources Administration,Award,06926R0001015,1557079.00,Vocational Instruction Project Community Services,"Single Room Occupancy Housing Services,. Abraham Plaza",Procurement
20260727007,07/31/2026,Youth and Community Development,Award,26026P0004075,1083330.00,Sunnyside Community Services Inc,COMPASS Center Based - Queens 04 Middle School,Procurement
20260727016,07/31/2026,Administration for Children's Services,Award,06826W0067001,199836.00,NYC IT Inc,Microsoft Dynamics Developer: PSR & CTDB,Procurement
20260724026,07/31/2026,Correction,Award,07225W0036001,323842.00,21Tech LLC,"Hexagon Extreme Support, As Needed",Procurement
20260727014,07/31/2026,Office of the Mayor,Award,00225N8001KXLR002,197000.00,Marsh USA LLC,Casualty/Property/Brokerage Services Renewal #2,Procurement
20260724021,07/30/2026,Emergency Management,Award,01726B0002001,460000.00,DNS Media Group Inc,Emergency Preparedness and Response Kits,Procurement
20260724013,07/30/2026,Youth and Community Development,Award,26026N0011060,1771234.00,Catholic Charities Community Services Archdiocese,SYEP NAQ FY26,Procurement
20260724017,07/30/2026,Youth and Community Development,Award,26026N0011064,3364998.00,Chinese American Planning Council Inc,Summer Youth Employment Program NAQ,Procurement
20260724016,07/30/2026,Youth and Community Development,Award,26026N0011044,4317258.00,Chinese American Planning Council Inc,Summer Youth Employment Program NAQ,Procurement
20260724010,07/30/2026,Citywide Administrative Services,Award,85726B0027001,7977500.00,Samuel17,Heat Pump Water Heaters,Procurement
20260724020,07/30/2026,Administration for Children's Services,Award,06826N0026001,2663759.00,SCO Family of Services,Alternative to Placement and Aftercare Services,Procurement
20260724015,07/30/2026,Youth and Community Development,Award,26026N0011014,2540261.00,Child Development Center - Mosholu Montefiore Community Center,Summer Youth Employment Program NAQ: Career Ready,Procurement
20260724011,07/30/2026,Parks and Recreation,Award,84626B0033001,252703.00,Camilo Sierra,Equine Veterinarian services for NYC Parks,Procurement
20260723031,07/30/2026,Health and Mental Hygiene,Award,81626W0043001,250000.00,Make it Zesty LLC,Catering Services,Procurement
20260724012,07/30/2026,Transportation,Award,84125B0005001,1350608.00,"IBI Armored Services, Inc.",Armored Car Services for collection of monies from parking,Procurement
20260724018,07/30/2026,Homeless Services,Award,07125P0010010,81424178.00,"Community Mediation Services, Inc.",Integrated Commercial Hotels Program,Procurement
