record_type,source_workbook_id,source_workbook,source_sheet,source_vintage,source_agency_name,agency_identity_status,canonical_agency_id,canonical_agency_name,identity_mapping_basis,fiscal_year,measure,publisher_measure,source_cell,value,unit,unit_label,value_status,source_raw_value,source_footnote_markers,source_comment,value_in_usd,value_in_usd_status,conversion_factor
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1980,less_intra_city,less: intra-city,AR240,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1980,other_than_personal_services,Other Than Personal Services,AR239,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1980,personal_services,Personal Services,AR238,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1980,prior_year_adjustments,prior year adjustments,AR241,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1980,total_department_expenditures,TOTAL DEPT.,AR242,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1981,less_intra_city,less: intra-city,AQ240,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1981,other_than_personal_services,Other Than Personal Services,AQ239,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1981,personal_services,Personal Services,AQ238,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1981,prior_year_adjustments,prior year adjustments,AQ241,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1981,total_department_expenditures,TOTAL DEPT.,AQ242,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1982,less_intra_city,less: intra-city,AP240,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1982,other_than_personal_services,Other Than Personal Services,AP239,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1982,personal_services,Personal Services,AP238,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1982,prior_year_adjustments,prior year adjustments,AP241,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1982,total_department_expenditures,TOTAL DEPT.,AP242,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1983,less_intra_city,less: intra-city,AO240,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1983,other_than_personal_services,Other Than Personal Services,AO239,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1983,personal_services,Personal Services,AO238,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1983,prior_year_adjustments,prior year adjustments,AO241,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1983,total_department_expenditures,TOTAL DEPT.,AO242,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1984,less_intra_city,less: intra-city,AN240,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1984,other_than_personal_services,Other Than Personal Services,AN239,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1984,personal_services,Personal Services,AN238,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1984,prior_year_adjustments,prior year adjustments,AN241,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1984,total_department_expenditures,TOTAL DEPT.,AN242,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1985,less_intra_city,less: intra-city,AM240,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1985,other_than_personal_services,Other Than Personal Services,AM239,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1985,personal_services,Personal Services,AM238,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
agency_measure,ibo_agency_expenditures,AgencyExpenditures.xlsx,In $000's,FY2022,Administration for Children's Services,exact,administration-for-childrens-services,Administration for Children's Services,shared_agency_identity_canonical_surface,1985,prior_year_adjustments,prior year adjustments,AM241,0.0,USD_thousands,In $000's,value,0,,,0.0,derived_explicit_conversion,1000
